envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	3000	-21000	-21000	-21000	-21000	99000	
8	0	-24000	-24000	-24000	-24000	96000	
9	-3000	-27000	-27000	-27000	-27000	93000	
10	-6000	-30000	-30000	-30000	-30000	90000	
11	15000	-33000	87000	-33000	-33000	87000	
12	36000	-36000	84000	84000	-36000	84000	
13	33000	-39000	81000	81000	-39000	81000	
14	54000	-42000	78000	78000	78000	78000	
15	51000	-45000	75000	75000	75000	75000	
16	72000	-48000	72000	192000	72000	72000	
17	69000	-51000	69000	189000	69000	69000	
18	66000	-54000	66000	186000	66000	66000	
19	63000	-57000	63000	183000	63000	63000	
20	60000	-60000	60000	180000	60000	60000	
21	57000	-63000	57000	177000	57000	57000	
22	54000	-66000	54000	174000	54000	54000	
23	51000	-69000	51000	171000	51000	51000	
24	48000	-72000	48000	168000	48000	48000	
25	45000	-75000	45000	165000	45000	45000	
26	90000	-78000	162000	162000	42000	162000	
27	87000	-81000	159000	159000	39000	159000	
28	108000	-84000	156000	156000	36000	276000	
29	129000	-87000	273000	153000	33000	273000	
30	126000	-90000	270000	150000	30000	270000	
31	123000	-93000	267000	147000	27000	267000	
32	120000	-96000	264000	144000	24000	264000	
33	117000	-99000	261000	141000	21000	261000	
34	114000	-102000	258000	138000	18000	258000	
35	135000	-105000	255000	255000	15000	255000	
36	132000	-108000	252000	252000	12000	252000	
37	129000	-111000	249000	249000	9000	249000	
38	126000	-114000	246000	246000	6000	246000	
39	147000	-117000	363000	243000	3000	243000	
40	168000	-120000	360000	360000	0	240000	
41	213000	-3000	357000	477000	-3000	237000	
42	210000	-6000	354000	474000	-6000	234000	
43	207000	-9000	351000	471000	-9000	231000	
44	228000	108000	348000	468000	-12000	228000	
45	249000	105000	345000	465000	105000	225000	
46	294000	102000	342000	582000	222000	222000	
47	315000	99000	459000	579000	219000	219000	
48	336000	96000	456000	576000	216000	336000	
49	381000	213000	453000	573000	333000	333000	
50	402000	210000	570000	570000	330000	330000	
51	399000	207000	567000	567000	327000	327000	
52	396000	204000	564000	564000	324000	324000	
53	393000	201000	561000	561000	321000	321000	
54	414000	198000	678000	558000	318000	318000	
55	435000	315000	675000	555000	315000	315000	
56	456000	432000	672000	552000	312000	312000	
57	477000	429000	669000	549000	309000	429000	
58	498000	426000	786000	546000	306000	426000	
59	519000	423000	783000	543000	303000	543000	
60	516000	420000	780000	540000	3e+05	540000	
61	513000	417000	777000	537000	297000	537000	
62	510000	414000	774000	534000	294000	534000	
63	507000	411000	771000	531000	291000	531000	
64	528000	408000	768000	648000	288000	528000	
65	525000	405000	765000	645000	285000	525000	
66	522000	402000	762000	642000	282000	522000	
67	543000	399000	759000	639000	279000	639000	
68	540000	396000	756000	636000	276000	636000	
69	537000	393000	753000	633000	273000	633000	
70	558000	510000	750000	630000	270000	630000	
71	579000	507000	747000	627000	387000	627000	
72	576000	504000	744000	624000	384000	624000	
73	573000	501000	741000	621000	381000	621000	
74	594000	498000	738000	618000	498000	618000	
75	591000	495000	735000	615000	495000	615000	
76	588000	492000	732000	612000	492000	612000	
77	585000	489000	729000	609000	489000	609000	
