Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0468309652028337	0.00465124121805059	0.00102598729714366
rf_019_015	0.0408840688516283	0.000789276301959412	0.000157717823099747
rf_001_025	0.020769495778212	0.00281955206402337	0.000148681906151324
ctrx_quarter	0.0183282799294716	0.00274295919248532	0.00107445266986702
rf_011_015	0.0179588075152632	0.000223085525898969	0.000112538238357632
rf_016_017	0.0161030603239679	0.00184279501445394	0.000124859943287299
rf_009_018	0.00947843804043141	0.00651216533517124	0.000161825058076303
cpayroll_trx	0.00939672597678855	0.00278244984393955	0.000251362780565221
mprestamos_personales_rank	0.00786465598633921	0.0132360479127609	0.00326607325335725
ccomisiones_mantenimiento_tend6	0.0070833357126291	0.00481582698513528	0.00113688264151067
rf_018_021	0.00699406368957958	0.00223386757385302	0.000134717307231034
rf_014_013	0.00692747077627418	8.39458047815126e-05	0.000105966662395142
mcuentas_saldo_rank	0.0064762121940364	0.00980060591004026	0.00272063244847063
mpayroll_sobre_edad_rank	0.00616532958423276	0.00504928880183839	0.00221051386438239
rf_012_013	0.00541383299594145	7.32343016252265e-05	0.000106788109390453
mprestamos_personales_rank_lag1	0.0053194208207114	0.00229375631320439	0.00268859601565349
rf_013_015	0.00525980686313612	0.000763719742295883	0.000151967694132568
rf_015_015	0.00512744429264984	0.00255459315009396	0.000174968210001281
mpasivos_margen_rank	0.00503315182508561	0.00251041406420053	0.0016240007097302
rf_008_021	0.00495074614627111	0.00130700813748931	0.000169218081034103
cprestamos_personales	0.00455325080826809	0.00589593154075405	0.000628406951413053
mpayroll_rank	0.00405936059140813	0.00430926116671585	0.00209961852001538
foto_mes	0.00405352914308126	0.0113724590077601	0.00163550096766456
rf_002_015	0.00376390537704477	0.00314348742283871	0.000282577766387046
rf_007_017	0.00359759712963711	0.00472013811003758	0.000256291462537088
mcaja_ahorro_rank	0.00339689947613692	0.00321740241136079	0.00171846711419099
mrentabilidad_annual_rank_lag1	0.00334845354738677	0.00296821356774133	0.00238876786236491
mactivos_margen_rank	0.0032077380321927	0.00627313374958669	0.00237973194541649
mcuenta_corriente_rank_tend6	0.00304685895456556	0.00509454998534978	0.00314367765105589
cliente_edad	0.00302770791942351	0.00434025637045664	0.00359875928645828
mcuenta_corriente_rank	0.00297346396973984	0.00336582464700021	0.00286356422565478
cliente_edad_lag1	0.00296181370866346	0.00649343683373584	0.00334903939988368
mcuentas_saldo_rank_tend6	0.00288763134299134	0.00237133713035703	0.00261795157405673
mrentabilidad_annual_rank_delta1	0.00277002660099902	0.00584573458950878	0.00292599419729843
numero_de_cliente	0.00275243269308521	0.00319479081188824	0.00360697375641139
mcuentas_saldo_rank_delta1	0.00269226817612681	0.00896407487080602	0.00292927998527967
internet_tend6	0.00264514321604792	0.00420511216897321	0.00213329784682314
mtarjeta_visa_consumo_rank	0.00260910647505663	0.00199793684706371	0.00109170305676856
mcuentas_saldo_rank_lag1	0.00258759679909968	0.00250095813307796	0.001792397343769
ctrx_quarter_tend6	0.00241224294046552	0.00161514792950499	0.00207579655715135
mprestamos_personales_rank_tend6	0.00240845336711814	0.00236320490644531	0.00317982131884958
mcuenta_corriente_rank_lag1	0.0023873333925162	0.00267372705923861	0.0027403471763581
mtransferencias_recibidas_rank	0.00235699195052488	0.00280920916147955	0.00231730197377284
mrentabilidad_annual_rank_tend6	0.00235590329706417	0.00288562477170824	0.00323075103255887
mactivos_margen_rank_tend6	0.00225205460007329	0.0026854687998059	0.00285534975570166
Master_fechaalta	0.002236184869046	0.00276689441244596	0.00256045028438495
mcuenta_debitos_automaticos_rank	0.00222344011735809	0.00343884335585877	0.00255716449640371
chomebanking_transacciones_tend6	0.00220019091343223	0.00398805751683919	0.00256537896635682
mplazo_fijo_dolares_rank	0.00218741328155199	0.00421325176431903	0.00284056370978606
Master_fechaalta_lag1	0.00217256987544749	0.00243385330898908	0.00237398181644931
mrentabilidad_annual_rank	0.00216164480112273	0.00306056711462431	0.00242901876513516
cproductos_tend6	0.0021550904534823	0.00564549134560824	0.00109909607972636
mcomisiones_mantenimiento_rank_tend6	0.00214879825743198	0.00171396275518146	0.00251444925264752
cdescubierto_preacordado_tend6	0.0021362340200512	0.00814611403507338	0.00048711806821953
mcaja_ahorro_rank_tend6	0.00212064607048307	0.00228924444629251	0.00279538412504395
cliente_antiguedad	0.00211428292827097	0.00362978561329072	0.00252841385156781
cproductos_delta1	0.00210359618381392	0.00959544045606306	0.000699051393009815
mpayroll_rank_tend6	0.00208678175784198	0.00150635871517442	0.00276006190424557
mcuenta_debitos_automaticos_rank_tend6	0.00208500000555018	0.0018410432437289	0.0028356350278142
tcallcenter_tend6	0.00204766098434803	0.00363497886088149	0.00131431519249789
ccallcenter_transacciones_tend6	0.0020437502394882	0.00372039507886619	0.00160510742883805
Visa_fechaalta	0.00204098238409037	0.00149978180604214	0.00184086271649236
chomebanking_transacciones	0.00203898744380797	0.00297260379153681	0.00194107924992032
mcomisiones_otras_rank	0.00202158547304751	0.00167995118951549	0.00157060665503498
Visa_Fvencimiento_lag1	0.00196132966583441	0.00115344113227865	0.00236823168748213
mcaja_ahorro_dolares_rank_tend6	0.00195525754462323	0.0018383148013473	0.00288245750654693
mcaja_ahorro_dolares_rank	0.00194650145349148	0.00418119359978136	0.00276827637419868
cdescubierto_preacordado_delta1	0.00193393268504805	0.0138930553061487	0.000454260188407083
Master_madelantodolares_rank_tend6	0.00191510616948685	0.000968578255538767	0.00266230971180354
Master_Fvencimiento_lag1	0.0019001614570237	0.00170457229973823	0.00248898439579288
mpagomiscuentas_rank_tend6	0.00189357682530408	0.00211619670647746	0.00292599419729843
vm_msaldodolares_rank_tend6	0.00189059227599872	0.00115800136157973	0.00269188180363474
mrentabilidad_rank_tend6	0.001881691994827	0.00299148700636551	0.00265902392382229
Master_mconsumospesos_rank_tend6	0.00187468770664908	0.00145018408012005	0.00286685001363602
mpasivos_margen_rank_tend6	0.00187339123118517	0.000984898610631009	0.00209715417902944
mtransferencias_emitidas_rank_tend6	0.00187265175035374	0.00106919928492226	0.00281263451194548
rf_015_024	0.00187207823123354	0.00600323822960345	0.000145396118170079
mcomisiones_mantenimiento_rank	0.00184602752972986	0.00336824042494574	0.00223515727424172
mcuenta_corriente_rank_delta1	0.00184152131644326	0.00112782233458527	0.00252430661659126
Master_mpagosdolares_rank_tend6	0.00183827998578251	0.00164133441434665	0.00272473968344719
Master_Fvencimiento	0.00183363725742276	0.00194590047729661	0.00251362780565221
ctarjeta_visa_debitos_automaticos_tend6	0.00183031685376266	0.00315094951112198	0.00140713870296805
matm_rank_tend6	0.00182450807965682	0.00178487944901879	0.00281920608790797
Visa_mfinanciacion_limite_rank_tend6	0.00181946907138765	0.00177983972961035	0.00257605777729586
mprestamos_personales_rank_delta1	0.00181767843523689	0.00144852409097643	0.00246516243292885
